Name,Category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gillette,FMCG,17358,15298,14959,15978,16723,17534,19579,20415,22689,22841,23298,23997,24898,25105,22845,22218,19950,18200,16864,13753
Goldman Sachs,Financial Services,,7862,7194,7039,7954,8495,9640,10663,10331,9248,9372,9091,7599,8536,8758,9526,9378,10864,11769,11352
Google,Technology,,,,,,8461,12376,17837,25590,31980,43557,55317,69726,93291,107439,120314,133252,141703,155506,167713
Gucci,Luxury,5149,5363,5304,5100,4715,6619,7158,7697,8254,8182,8346,8763,9446,10151,10385,8882,9385,9969,12942,15949
Guinness,Alcohol,1224,1357,,,,,,,,,,,,,,,,,,
H&M,Apparel,,,,,,,,,13840,15375,16136,16459,16571,18168,21083,22222,22681,20488,16826,16345
Harley-Davidson,Automotive,,5532,6266,6775,7057,7346,7739,7718,7609,4337,3281,3512,3857,4230,4772,5460,5527,5671,5161,4793
Heineken,Alcohol,2218,2266,2396,2431,2380,2357,,,,,3516,3809,3939,4331,4221,4822,5123,5181,5393,5626
Heinz,FMCG,11742,7062,7347,7097,7026,6932,6223,6544,6646,7244,7534,7609,7722,7648,,,,,,
Hennessy,Alcohol,,,,2996,3084,3201,3576,3638,3513,,,,,,,,,,4722,5297
Hermès,Luxury,,,,3416,3376,3540,3854,4255,4575,4598,4782,5356,6182,7616,8977,10944,12833,14210,16372,17920
Hertz,Automotive,3438,3617,3362,3288,3411,3521,,3026,,,,,,,,,,,,
Hewlett Packard Enterprise,Business Services,,,,,,,,,,,,,,,,,11027,8951,8157,7909
Hilton,Hospitality,1483,1235,,,,,,,,,,,,,,,,,,
Honda,Automotive,15244,14638,15064,15625,14874,15788,17049,17998,19079,17803,18506,19431,17280,18490,21673,22975,22106,22696,23682,24422
HP,Electronics,20572,17983,16776,19860,20978,18866,20458,22197,23509,24096,26867,28479,26087,25843,23758,23056,10386,9541,10433,10891
HSBC,Financial Services,,,,7565,8671,10429,11622,13563,13143,10510,11561,11792,11378,12183,13142,11656,10458,10534,11208,11816
HTC,Electronics,,,,,,,,,,,,3605,,,,,,,,
Huawei,Technology,,,,,,,,,,,,,,,4313,4952,5835,6676,7578,6887
Hugo Boss,Apparel,,,,,,,,,,,,,,,4143,4270,,,,
Hyundai,Automotive,,,,,,3480,4078,4453,4846,4604,5033,6005,7473,9004,10409,11293,12547,13193,13535,14156
IBM,Business Services,53183,52752,51188,51767,53791,53376,56201,57090,59031,60211,64727,69905,75532,78808,72244,65095,52500,46829,42972,40381
