Country,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Eq. Guinea,267351,295010,316955,283262,282509,378379,465549,560740,684977,864726,1094524,1346973,1596049
Eritrea,993568,1121739,1272748,1450867,1657982,1899243,2149960,2157220,2392880,2831732,3147727,3340006,3555868
Estonia,1211537,1294566,1360076,1429352,1477219,1528781,1569174,1436634,1396985,1354775,1331475,1315407,1329522
Ethiopia,21739710,24727506,28308246,32252783,34945469,40285965,47878073,57476536,67031867,77469940,89237791,102471895,117190911
Faeroe Is.,34154,36346,38416,40626,43054,45575,47479,43805,45660,48291,48410,48816,52415
Falkland Is.,15374,18154,23969,27047,31988,38962,46047,50702,54224,54337,53416,49410,43413
Fiji,401841,469010,527634,575804,644582,727461,780430,792246,832509,874923,905169,917200,920422
Finland,4429634,4563732,4606307,4711440,4779535,4902206,4986431,5107790,5176209,5246096,5363352,5479531,5529543
Fr. Polynesia,84851,98674,117891,139833,163591,187578,211089,231446,250927,271060,283788,291787,301920
France,46649927,49282756,51724116,53715733,55052582,56569195,58044701,59543659,60921384,63188395,65030575,66548272,67571107
French Guiana,571990,650207,705261,745590,778176,772671,747116,751689,759051,759709,747932,755031,797202
Gabon,513340,547535,597192,663340,749078,856482,983028,1121964,1272935,1458353,1711105,2028517,2292573
Gambia,399649,458908,528731,612909,718586,855958,1040616,1242155,1437539,1660368,1937275,2253133,2573995
Georgia,3645600,3921600,4119900,4311200,4467700,4662900,4802000,4657722,4077131,3902469,3786695,3725276,3722716
Germany,72814900,75963695,78169289,78673554,78288576,77684873,79433029,81678051,82211508,82469422,81776930,81686611,83160871
Ghana,6911510,7827726,8861895,10209848,11865246,13651443,15446982,17438874,19665502,22496951,25574719,28870939,32180401
Greece,8331725,8550333,8792806,9046541,9642505,9934300,10196792,10562153,10805808,10987314,11121341,10820883,10698599
Greenland,32500,39200,46400,49600,50200,53200,55600,55800,56200,56935,56905,56114,56367
Grenada,93772,98226,98794,97165,94838,100576,99047,104060,107432,110254,114039,118980,123663
Guadeloupe,48793,50057,55298,59949,64022,64376,68865,71454,75562,79415,83828,83593,84046
Guatemala,4128880,4774984,5455197,6131151,6890346,7884034,9050115,10286786,11589761,12948292,14259687,15567419,16858333
Guinea,3516814,3845074,4222374,4588006,4972609,5531661,6354145,7468347,8336967,9140114,10270728,11625998,13205153
Guinea-Bissau,577933,577638,591663,659635,831462,900088,973551,1117222,1230849,1379713,1567220,1788919,2015828
Guyana,21822,23910,26685,27973,28734,28674,27317,27412,27741,29155,31262,32520,32709
Haiti,3901139,4274348,4680812,5124560,5646676,6245539,6925331,7627316,8360225,9111900,9842880,10563757,11306801
Honduras,2078617,2403465,2782753,3231631,3777990,4387693,5053234,5812832,6656725,7564613,8450933,9294505,10121763
Hong Kong,3114671,3597900,3959000,4461600,5063100,5456200,5704500,6156100,6665000,6813200,7024200,7291300,7481000
Hungary,9983967,10147935,10337910,10540525,10711122,10648713,10373988,10328965,10210971,10087065,10000023,9843028,9750149
Iceland,175574,192286,204438,217979,228138,241405,254826,267468,281205,296734,318041,330815,366463
India,445954579,500114346,557501301,623524219,696828385,780242084,870452165,964279129,1059633675,1154638713,1240613620,1322866505,1396387127
Indonesia,88382881,101157868,115228394,131213215,148177096,165791694,182159874,198140162,214072421,228805144,244016173,259091970,271857970
Iran,21388806,24667026,28449705,32856976,38520664,47266160,55793629,60794809,65544383,70182594,75373855,81790841,87290193
Iraq,7084678,8270544,9811347,11617622,13653369,15753856,17658381,20948858,24628858,28698684,31264875,37757813,42556984
Ireland,2828600,2877300,2957250,3189550,3412800,3538082,3513974,3608841,3805174,4159914,4560155,4701957,4985382
Israel,2114020,2563000,2974000,3455000,3878000,4233000,4660000,5545000,6289000,6930100,7623600,8380100,9215100
Italy,50199700,52112350,53821850,55441001,56433883,56593071,56719240,56844303,56942108,57969484,59277417,60730582,59438851
Ivory Coast,3708661,4492890,5477086,6853981,8303810,9964075,11910540,14299727,16799670,18970215,21120042,23596741,26811790
Jamaica,1642331,1746977,1859091,2003094,2135546,2292030,2392030,2509372,2612205,2676863,2733896,2794445,2820436
Japan,93216000,97952000,103403000,111573000,116807000,120837000,123478000,125472000,126843000,127773000,128070000,127141000,126261000
Jordan,847936,1093474,1557374,1886636,2216903,2751492,3480587,4458195,5056174,5678534,6931258,9494246,10928721
Kazakhstan,9319283,10897644,12265305,13158942,14172710,15413315,16348000,15816243,14883626,15147029,16321872,17542806,18755666
Kenya,7751435,9417207,11473087,13651908,16187124,19452161,23162269,26878347,30851606,35843010,41517895,46851488,51985780
Kuwait,305415,513840,802786,1095998,1493870,1888975,1674938,1655222,1934901,2235403,2943356,3908743,4360444
Kyrgyzstan,2172300,2573300,2959900,3292400,3617400,3990300,4391200,4560400,4898400,5162600,5447900,5956900,6579900
Laos,2122532,2379456,2675283,3012720,3297519,3741604,4314443,4927432,5430853,5852970,6323418,6787419,7319399
Latvia,2120979,2265919,2359164,2456130,2511701,2578873,2663151,2485056,2367550,2238799,2097555,1977527,1900449
Lebanon,1798092,2087445,2381791,2691586,2963702,3226750,3593700,3959640,4320642,4643044,4995800,6398940,5662923
Lesotho,737838,860220,1023481,1216180,1407672,1616697,1798997,1934079,1998630,1977424,2022747,2118521,2254100
Liberia,1137026,1287315,1463563,1671632,1932169,2239724,2209731,2142422,2895224,3266318,4019956,4612329,5087584
Libya,1426986,1700072,1909177,2291841,2962720,3684313,4236983,4733063,5154790,5837986,6491988,6192235,6653942
Liechtenstein,16472,18500,21089,23030,25003,26785,28765,30890,33026,34603,35926,37355,38756
Lithuania,2778550,2971450,3139689,3301652,3413202,3544543,3697838,3629102,3499536,3322528,3097282,2904910,2794885
Luxembourg,313970,331500,339171,358950,364150,366706,381850,408625,436300,465158,506953,569604,630419
Macedonia,1462368,1547982,1656783,1774013,1907023,2001504,2044174,1983964,2026350,2036855,2055004,2070226,2072531
Madagascar,5073342,5780453,6639751,7720859,8948162,10297746,11882762,13869138,16216431,18792171,21731053,24850912,28225177
Malawi,3621081,4089097,4625141,5280965,6267369,7625078,9539665,10112816,11229387,12755648,14718422,16938942,19377061
Malaysia,7833782,9091016,10306508,11617947,13215707,15108135,17517054,20136888,22945150,25923536,28717731,31068833,33199993
Maldives,91650,104566,123243,143126,164887,190383,224957,258208,282507,307018,361575,435582,514438
Mali,5346792,5726382,6153587,6687293,7372581,8187651,8945026,9921094,11239101,13180551,15529181,18112907,21224040
Malta,326550,318800,302650,304222,316645,336452,354170,377419,390087,403834,414508,445053,515332
Martinique,21797,23022,24270,25524,27076,28807,30329,31482,32465,32141,33178,36760,36922
Mauritania,838478,965621,1122198,1302436,1506694,1746265,2006027,2380341,2695003,3012360,3419461,3946220,4498604
Mauritius,676683,753000,826000,892000,966039,1020528,1058775,1122457,1186873,1228254,1250400,1262605,1265740
Mayotte,8702,10229,10143,15269,17613,32041,48002,48717,80338,69025,54087,51514,49587
Mexico,36268055,42737991,50289306,58691882,67705186,74872006,81720428,89969572,97873442,105442402,112532401,120149897,125998302
Moldova,2074015,2301425,2456514,2590711,2716068,2847050,2965978,2953200,2924668,2888985,2862354,2835978,2635130
Mongolia,977903,1134072,1293880,1485691,1697780,1919744,2161433,2330334,2450979,2559255,2702520,2964749,3294335
Montenegro,480579,526327,512407,546487,572608,605398,606372,611712,604950,614261,619428,622159,621306
Montserrat,4209141,4596245,4953314,5266374,5544061,5841960,6057836,6319517,6582141,6802474,7004428,7224602,7444768
Morocco,11769774,13381880,15274351,17325325,19678444,22335077,24570814,26599048,28554415,30431902,32464865,34680458,36688772
Mozambique,6788375,7524154,8411676,9703732,11413587,12680065,13303459,15594830,17768505,20211114,23073723,26843246,31178239
Myanmar,21720697,24286878,27284112,30344276,33465781,36881020,40099553,42880186,45538332,47724471,49390988,51483949,53423198
Namibia,590181,657887,754467,876572,975994,1093311,1369011,1605370,1819141,1962865,2099271,2282704,2489098
Nauru,4582,5804,6663,7199,7635,8313,9598,10316,10377,10318,10241,11185,12315
Nepal,10167941,11232951,12501285,13925541,15600442,17540571,19616530,22305571,24559500,26285110,27161567,27610325,29348627
Netherlands,11486631,12294732,13038526,13666335,14149800,14491632,14951510,15459006,15925513,16319868,16615394,16939923,17441500
New Caledonia,79000,90500,112000,132500,140050,154450,170899,193816,213230,232250,249750,269460,271130
New Zealand,2371800,2628400,2810700,3083100,3112900,3247100,3329800,3673400,3857700,4133900,4350700,4609400,5090200
Nicaragua,1789684,2084097,2444767,2857461,3303309,3763034,4227820,4721929,5123222,5454678,5855734,6298598,6755895
Niger,3497431,4053524,4669708,5339497,6173177,7187618,8370648,9813918,11622665,13855221,16647543,20128124,24333639
Nigeria,44928342,49925799,55569264,62851312,72951439,83585251,95214257,108187610,122851984,140490722,160952853,183995785,208327405
North Korea,11655666,13105946,14996879,16723252,17973650,19325487,20799523,22385536,23367059,24100982,24686435,25258015,25867467
